Date,price1,price2,beta,spread,spread_mean,spread_std,z_score,spread_change,spread_vol_20,ret1,ret2,adf_p_252,hurst_252,adf_stationary,hurst_mr,regime_score
2020-12-31,47.18148040771485,127.1068878173828,0.2970453253733324,113.09184961807763,102.50277495987714,5.571700790805493,1.9005102850595896,0.746264076469771,0.8989862479623267,0.007347454974613976,0.006720248745825996,0.21648528885419482,0.3029928168595633,0,1,1
2021-01-04,45.3919563293457,123.65281677246094,0.2970453253733324,110.16934833527834,102.5453455231741,5.589173846870353,1.3640661430442502,-2.9225012827992884,0.9065988649322451,-0.03792852752616327,-0.027174538722751218,0.252551309938274,0.30325351077547025,0,1,1
2021-01-05,44.8929557800293,124.02139282226562,0.2970453253733324,110.6861501656162,102.58822884751062,5.610057048348062,1.44346505718513,0.5168018303378545,0.9110026421026366,-0.01099314922000405,0.002980733148060244,0.21634249675587852,0.3022883533344291,0,1,1
2021-01-06,43.46477890014648,122.50428009033205,0.2970453253733324,109.59327069965808,102.63343592982062,5.620454371438031,1.2383046476110322,-1.09287946595812,0.9704598660772356,-0.03181293935914431,-0.012232669682300301,0.21736869819258103,0.3014304458508108,0,1,1
2021-01-07,42.98298263549805,122.11003875732422,0.2970453253733324,109.34214469484641,102.67546413996236,5.630896187118326,1.1839466282712274,-0.2511260048116668,1.0391513305142717,-0.011084751305310503,-0.0032181841541953915,0.21542758574299953,0.30062032392405025,0,1,1
2021-01-08,43.94656753540039,123.5756607055664,0.2970453253733324,110.52153825297228,102.72284595009509,5.646522778063558,1.3811495338643975,1.1793935581258665,1.0400976996238653,0.022417823073695997,0.012002468946512135,0.20182868799774517,0.2995529175883001,0,1,1
2021-01-11,43.1894645690918,121.78433990478516,0.2970453253733324,108.95511134915927,102.76505726309956,5.653217647720464,1.0949612188654556,-1.56642690381301,1.1234654964439719,-0.017227806601703866,-0.01449574123701658,0.22781444002357837,0.29836974013318995,0,1,1
2021-01-12,43.112037658691406,121.21866607666016,0.2970453253733324,108.4124368228268,102.7990936757391,5.661322458019629,0.9915250701072577,-0.5426745263324619,1.24544812896505,-0.0017927267951314274,-0.004644881505842746,0.2084433273931195,0.29648656812967056,0,1,1
2021-01-13,43.15504837036133,122.21289825439452,0.2970453253733324,109.39389286971864,102.83583971129336,5.673992310283274,1.155809313759516,0.9814560468918359,1.2707496441532062,0.0009976497054124955,0.00820197259971156,0.18363706808296115,0.29299478484010694,0,1,1
2021-01-14,42.35492706298828,121.50154113769533,0.2970453253733324,108.92020804710621,102.86362605290464,5.6866111042827105,1.065059994983697,-0.4736848226124266,1.3285386722368966,-0.01854061894465553,-0.005820638630289698,0.21722469033320524,0.2892135205744177,0,1,1
2021-01-15,41.898948669433594,121.18440246582033,0.2970453253733324,108.73851562550787,102.88945399858751,5.698489556211308,1.026423154631376,-0.18169242159834198,1.3924119301172622,-0.010765651723979586,-0.0026101617222746842,0.21546055305566209,0.2835185079206288,0,1,1
2021-01-19,41.735477447509766,121.7586441040039,0.2970453253733324,109.361315625997,102.91241820656533,5.712902718769746,1.1288302526566403,0.6228000004891214,1.4028318128617578,-0.0039015590394296806,0.0047385771312074,0.21313403962166805,0.27738312087530564,0,1,1
2021-01-20,41.88173294067383,121.13300323486328,0.2970453253733324,108.69223024630182,102.93096985874979,5.724084349061617,1.0064946699285633,-0.6690853796951757,1.3870916554694837,0.0035043445554925334,-0.005138369220063055,0.22232925627624495,0.2699427502434437,0,1,1
2021-01-21,42.11402893066406,119.65876770019533,0.2970453253733324,107.1489922737043,102.93880555259864,5.728517404114852,0.7349522440276497,-1.5432379725975238,1.5308755443191777,0.005546475126024131,-0.012170387056362975,0.2183275911090814,0.2616446145048355,0,1,1
2021-01-22,41.71826934814453,118.78453063964844,0.2970453253733324,106.39231374711653,102.94296206646654,5.730649766091077,0.6019128408544896,-0.7566785265877627,1.7349688606630131,-0.009397333681161357,-0.007306084437851523,0.19977280147971888,0.2515217483258353,0,1,1
2021-01-25,41.967777252197266,120.14730072021484,0.2970453253733324,107.68096867114036,102.95449762197032,5.737272237183575,0.8238185070838241,1.288654924023831,1.7992706261623705,0.005980782711060284,0.01147262251429515,0.1856701294895607,0.24107647512142122,0,1,1
2021-01-26,42.406551361083984,121.53580474853516,0.2970453253733324,108.93913690152104,102.9734075612758,5.749148037521538,1.0376718952634698,1.2581682303806758,1.7934978330668914,0.010455023773358052,0.01155668100737195,0.1924617837469157,0.23125815322553164,0,1,1
2021-01-27,41.75269317626953,118.3131103515625,0.2970453253733324,105.9106680218046,102.9788476271909,5.751284297253495,0.5097679480066348,-3.028468879716442,1.8821688003648507,-0.015418801195291043,-0.026516419615113418,0.21566598073314003,0.22200703311132935,0,1,1
2021-01-28,42.286102294921875,119.29876708984376,0.2970453253733324,106.73787807487868,102.98991676563068,5.755840384884446,0.6511579645416525,0.8272100530740829,1.810942407748482,0.012775442206815812,0.00833091730369051,0.17983759974681313,0.21326718525297364,0,1,1
2021-01-29,41.42576217651367,117.05321502685548,0.2970453253733324,104.7478860222947,102.98796291675264,5.755156980734163,0.30579932249173003,-1.989992052583986,1.8792114656553682,-0.02034569448864809,-0.018822927661080957,0.17582559800681707,0.20542664534431226,0,1,1
2021-02-01,41.70966720581055,117.40460968017578,0.2970453253733324,105.01494801381237,102.99259948111788,5.756321973150115,0.351326514070542,0.2670619915176786,1.7422168804545022,0.0068533447396130764,0.003002007704270948,0.16233105876225606,0.19686045668769073,0,1,1
