Date,price1,price2,beta,spread,spread_mean,spread_std,z_score,spread_change,spread_vol_20,ret1,ret2,adf_p_252,hurst_252,adf_stationary,hurst_mr,regime_score,y
2020-12-31,349.0081787109375,349.5418701171875,0.9930453992982704,2.9609039308224396,2.31415358842905,0.3383530532934783,1.9114659557465727,0.1940940333548155,0.0622486846485974,0.0050809923218255,0.0055989385791908,0.8255978327087762,0.1998732449989466,0,1,1,1
2021-01-04,344.2566833496094,344.727783203125,0.9930453992982704,2.8652676251138587,2.3161657733100594,0.3401191875308584,1.6144395021935665,-0.0956363057085809,0.064975602741126,-0.0136142808425802,-0.0137725615316085,0.8535584171447992,0.198402224320487,0,1,1,0
2021-01-05,346.6277160644531,347.00909423828125,0.9930453992982704,2.792035531208853,2.317690579827282,0.3413905164118324,1.3894497022563768,-0.0732320939050055,0.0642520850353976,0.0068873977747465,0.0066177173593577,0.8704345752394733,0.1962439861030675,0,1,1,0
2021-01-06,348.7001037597656,349.1042175292969,0.9930453992982704,2.829183755832048,2.3193021322561935,0.3428453945171699,1.4872056960074445,0.0371482246231948,0.0653263553379138,0.0059787131820905,0.0060376610463614,0.8566075865840572,0.1934255437245841,0,1,1,0
2021-01-07,353.880859375,354.2720947265625,0.9930453992982704,2.8523354245004953,2.3212364737909454,0.3444748195201724,1.541764217916801,0.0231516686684472,0.0670038451646949,0.0148573388977355,0.0148032505417439,0.861694341061437,0.1905637319165608,0,1,1,1
2021-01-08,355.897216796875,356.2926940917969,0.9930453992982704,2.870600328600972,2.3232139384086374,0.3461950149953829,1.5811504108446928,0.0182649041004765,0.0697985048629039,0.0056978425604485,0.0057035239165363,0.8785671567421356,0.188099220448572,0,1,1,1
2021-01-11,353.4981689453125,353.9647521972656,0.9930453992982704,2.9250218657603,2.3253112424717095,0.3482356861742866,1.7221400537004257,0.0544215371593281,0.0747200936144996,-0.006740844654966,-0.0065337907095324,0.8785629046115266,0.1854857019787231,0,1,1,1
2021-01-12,353.5727844238281,354.0205993652344,0.9930453992982704,2.9067724760726605,2.3271249555889493,0.3500716081401617,1.655797005541883,-0.0182493896876394,0.0746277305554526,0.0002110774116264,0.0001577760712672,0.8857701164684976,0.1820508664902533,0,1,1,1
2021-01-13,354.5249938964844,354.91455078125,0.9930453992982704,2.8551366560987503,2.3287769255320545,0.3515798786635148,1.497127004445146,-0.0516358199739102,0.0671221236559887,0.0026931073730913,0.0025251395472989,0.8913065370577029,0.1780920663721959,0,1,1,0
2021-01-14,353.2834167480469,353.6853942871094,0.9930453992982704,2.8589226370878578,2.3304340448130323,0.3530933636062797,1.496738955604167,0.0037859809891074,0.0645924273761567,-0.0035020863685566,-0.0034632462699401,0.8840908819565501,0.1736555304944173,0,1,1,0
2021-01-15,350.7070007324219,351.1340637207031,0.9930453992982704,2.866090141676409,2.332046571531172,0.3546108334691606,1.5059990269352015,0.0071675045885513,0.0625370432008611,-0.0072927737150551,-0.0072135593033145,0.8715891445410775,0.1691307888493244,0,1,1,0
2021-01-19,353.4608154296875,353.8809509277344,0.9930453992982704,2.878314333068033,2.333440324805638,0.3560677071724024,1.5302539300441975,0.0122241913916241,0.0607338177941541,0.0078521805710023,0.0078229015377333,0.8742276909240195,0.1641860397293268,0,1,1,0
2021-01-20,358.3523254394531,358.7508239746094,0.9930453992982704,2.890695869123874,2.335145727713841,0.3577061901534241,1.5530906556907824,0.012381536055841,0.0588849447515518,0.0138389032001162,0.0137613314141609,0.871853982198427,0.1583012659177239,0,1,1,0
2021-01-21,358.678955078125,359.0673522949219,0.9930453992982704,2.8828661294788276,2.336711023664238,0.3592393087850842,1.5203099784977272,-0.0078297396450466,0.0595979473359534,0.0009114762636779,0.0008823068803178,0.8687890962977303,0.1525757300617016,0,1,1,1
2021-01-22,357.409423828125,357.8476257324219,0.9930453992982704,2.92384173405668,2.3383251651263475,0.3609626722766665,1.6220972801352498,0.0409756045778522,0.0584268864939668,-0.00353946400263,-0.0033969297255913,0.8715003393388694,0.1461063748218222,0,1,1,1
2021-01-25,358.8190002441406,359.2722473144531,0.9930453992982704,2.948689941204293,2.340366827768694,0.362956601961905,1.6760216239280503,0.0248482071476132,0.0568439850776352,0.0039438703124221,0.0039810843487235,0.8823361213611796,0.139059269702701,0,1,1,1
2021-01-26,358.2588806152344,358.74151611328125,0.9930453992982704,2.97418296057441,2.342905479695806,0.3651456890847425,1.7288372826225478,0.025493019370117,0.0561544783150201,-0.0015610088332144,-0.001477239628552,0.8874545909504779,0.1326595094776984,0,1,1,1
2021-01-27,349.5028381347656,349.98876953125,0.9930453992982704,2.9165840798328873,2.344917176529151,0.3669070098536027,1.5580702683544625,-0.0575988807415228,0.0551442611447424,-0.0244405455223666,-0.0243984768667459,0.8953872885912999,0.1276179147942399,0,1,1,1
2021-01-28,352.5087585449219,352.94976806640625,0.9930453992982704,2.8925671810266635,2.3466926513530733,0.3684731565742573,1.4814499236488663,-0.0240168988062237,0.0521733199455784,0.0086005608028774,0.0084602672797815,0.8953798405043933,0.1211973177622089,0,1,1,0
2021-01-29,345.45159912109375,345.93829345703125,0.9930453992982704,2.889172269598646,2.348693545898544,0.3700473809283117,1.460566272200714,-0.0033949114280176,0.0444541520820501,-0.0200198129911963,-0.0198653611469602,0.8955011732539315,0.1141107551454238,0,1,1,0
2021-02-01,351.2017822265625,351.599609375,0.9930453992982704,2.8402953095589965,2.350217533367133,0.3712808647893257,1.3199650794552698,-0.0488769600396494,0.0423096850768834,0.0166454088506131,0.01636510332925,0.8969666256630746,0.1079693721918788,0,1,1,0
