Date,spread,zscore,rolling_mean,rolling_std,rolling_min,rolling_max
2020-01-30,-70.8204460144043,-0.9534847292950673,-68.9263349533081,1.9865143120819102,-71.52737045288085,-65.84535980224611
2020-01-31,-69.69570541381836,-0.3334446787360643,-69.04267406463623,1.9584398577223392,-71.52737045288085,-65.84535980224611
2020-02-03,-69.95404434204103,-0.40727068114791026,-69.1673641204834,1.9315906053937855,-71.52737045288085,-65.84535980224611
2020-02-04,-70.32907485961913,-0.5408098822960444,-69.28832054138184,1.9244365761562983,-71.52737045288085,-65.84535980224611
2020-02-05,-71.22015762329103,-0.9157473987708821,-69.52547397613526,1.8506016500078273,-71.52737045288085,-65.84535980224611
2020-02-06,-71.12871170043945,-0.7835936177488438,-69.73348140716553,1.7805534165556753,-71.52737045288085,-65.84535980224611
2020-02-07,-71.8284683227539,-1.1107308447617887,-70.01390762329102,1.633663734126376,-71.8284683227539,-65.84535980224611
2020-02-10,-71.60412216186523,-0.9706295800983958,-70.30184574127198,1.3416821898846756,-71.8284683227539,-67.01189041137695
2020-02-11,-72.08700942993164,-1.3277078776194202,-70.5556016921997,1.1534221974172156,-72.08700942993164,-67.38653182983398
2020-02-12,-72.23674774169922,-1.5261108632447253,-70.79811248779296,0.9426806980768853,-72.23674774169922,-68.76134490966797
2020-02-13,-72.39519882202147,-1.6131942615208825,-70.97980518341065,0.8773857385758502,-72.39519882202147,-69.00302886962889
2020-02-14,-72.54543685913086,-1.7089733730842995,-71.15692558288575,0.8124826858707409,-72.54543685913086,-69.69570541381836
2020-02-18,-71.73716354370117,-0.6383006733143055,-71.22991886138917,0.794679848414062,-72.54543685913086,-69.69570541381836
2020-02-19,-71.47924041748045,-0.26183787737558845,-71.27459754943848,0.7815632714911837,-72.54543685913086,-69.69570541381836
2020-02-20,-71.21267318725586,0.061895414661003824,-71.26095581054688,0.7800678540640796,-72.54543685913086,-69.69570541381836
2020-02-21,-71.44626998901367,-0.24314891324973092,-71.25690078735352,0.7788198562321389,-72.54543685913086,-69.69570541381836
2020-02-24,-70.00408935546875,1.4519910891755596,-71.20489521026612,0.8270063526899353,-72.54543685913086,-69.69570541381836
2020-02-25,-69.41200256347656,1.9073953337370972,-71.14744548797607,0.9098496225736866,-72.54543685913086,-69.41200256347656
2020-02-26,-70.32790756225586,0.8361209760480725,-71.10374965667725,0.9279065071282049,-72.54543685913086,-69.41200256347656
2020-02-27,-67.87690734863283,2.633796603232256,-70.96706886291504,1.1732726477397297,-72.54543685913086,-67.87690734863283
2020-02-28,-65.4603500366211,3.0784941042842813,-70.69906406402588,1.701713191561473,-72.54543685913086,-65.4603500366211
2020-03-02,-68.0610466003418,1.4285421722854488,-70.61733112335205,1.7894358126792886,-72.54543685913086,-65.4603500366211
2020-03-03,-66.2789192199707,2.0433821746795577,-70.43357486724854,2.0332249633768904,-72.54543685913086,-65.4603500366211
2020-03-04,-69.57126998901367,0.4036666194074688,-70.39568462371827,2.0423156017079918,-72.54543685913086,-65.4603500366211
2020-03-05,-68.58856582641602,0.8090588742722448,-70.26410503387451,2.0709731525603257,-72.54543685913086,-65.4603500366211
2020-03-06,-69.11544799804688,0.5048968421390796,-70.16344184875489,2.075659349082102,-72.54543685913086,-65.4603500366211
2020-03-09,-65.99086761474608,1.7373925648866735,-69.87156181335449,2.2336311764184047,-72.54543685913086,-65.4603500366211
2020-03-10,-67.83053970336914,0.8273265511055296,-69.6828826904297,2.2389502483455015,-72.54543685913086,-65.4603500366211
2020-03-11,-65.35595703125,1.6900395072824175,-69.34633007049561,2.361112282908776,-72.54543685913086,-65.35595703125
2020-03-12,-57.47491455078125,3.216718475168779,-68.60823841094971,3.4610812062390077,-72.54543685913086,-57.47491455078125
2020-03-13,-66.18513488769531,0.6248266399847814,-68.2977352142334,3.381098358081438,-72.54543685913086,-57.47491455078125
2020-03-16,-56.838802337646484,2.608451469256796,-67.51240348815918,4.09193012647992,-71.73716354370117,-56.838802337646484
2020-03-17,-67.49404144287108,-0.04882046254967705,-67.30024738311768,3.9695252693725833,-71.47924041748045,-56.838802337646484
2020-03-18,-63.747898101806655,0.8081645782030396,-66.91368026733399,3.9172493461251103,-71.44626998901367,-56.838802337646484
2020-03-19,-63.28056335449219,0.8384272442120997,-66.5170747756958,3.860217381467706,-71.44626998901367,-56.838802337646484
2020-03-20,-54.999290466308594,2.39801267071425,-65.69472579956054,4.460124612296693,-70.32790756225586,-54.999290466308594
2020-03-23,-56.668344497680664,1.7532062253864145,-65.02793855667115,4.768174980184085,-70.32790756225586,-54.999290466308594
2020-03-24,-62.34324645996094,0.4973443272163356,-64.67450075149536,4.687405010895738,-70.32790756225586,-54.999290466308594
2020-03-25,-59.40708923339842,1.0197546875856351,-64.1284598350525,4.629908211387937,-69.57126998901367,-54.999290466308594
2020-03-26,-63.66448211669923,0.055738409294741074,-63.91783857345581,4.545455458135613,-69.57126998901367,-54.999290466308594
2020-03-27,-65.0741310119629,-0.2589792060606754,-63.8985276222229,4.539373672589667,-69.57126998901367,-54.999290466308594
2020-03-30,-67.44535064697266,-0.7929689347588716,-63.86774282455444,4.511662015493842,-69.57126998901367,-54.999290466308594
2020-03-31,-63.563865661621094,0.03756133169177718,-63.73199014663696,4.475999051244278,-69.57126998901367,-54.999290466308594
2020-04-01,-63.69121932983397,-0.0594416422430473,-63.437987613677976,4.260173619035807,-69.11544799804688,-54.999290466308594
2020-04-02,-66.96818923950194,-0.8656778970488761,-63.356968784332274,4.171552106713631,-69.11544799804688,-54.999290466308594
