Date,IVV,SPY
2020-01-02,298.04058837890625,297.69903564453125
2020-01-03,295.7481384277344,295.4447326660156
2020-01-06,296.917236328125,296.57183837890625
2020-01-07,296.10443115234375,295.73797607421875
2020-01-08,297.611328125,297.31414794921875
2020-01-09,299.6205749511719,299.3301086425781
2020-01-10,298.7895202636719,298.46881103515625
2020-01-13,300.881103515625,300.5214538574219
2020-01-14,300.4153137207031,300.063232421875
2020-01-15,301.0912170410156,300.7413635253906
2020-01-16,303.5937194824219,303.2430114746094
2020-01-17,304.5984191894531,304.186767578125
2020-01-21,303.9407653808594,303.5911865234375
2020-01-22,304.0047302246094,303.6277770996094
2020-01-23,304.37921142578125,303.9761047363281
2020-01-24,301.6117858886719,301.2728576660156
2020-01-27,296.71624755859375,296.4435729980469
2020-01-28,299.8764343261719,299.5500183105469
2020-01-29,299.6664123535156,299.3025817871094
2020-01-30,300.570556640625,300.27398681640625
2020-01-31,295.22760009765625,294.8216552734375
2020-02-03,297.3465270996094,297.01171875
2020-02-04,301.9587707519531,301.53863525390625
2020-02-05,305.3199157714844,305.0207824707031
2020-02-06,306.489013671875,306.04705810546875
2020-02-07,304.8267517089844,304.41595458984375
2020-02-10,307.08270263671875,306.6885070800781
2020-02-11,307.64892578125,307.219970703125
2020-02-12,309.6217956542969,309.19940185546875
2020-02-13,309.2381896972656,308.86944580078125
2020-02-14,309.6856689453125,309.3642578125
2020-02-18,308.9458923339844,308.5671081542969
2020-02-19,310.42547607421875,310.0423278808594
2020-02-20,309.15594482421875,308.7686767578125
2020-02-21,305.97747802734375,305.5888671875
2020-02-24,295.76641845703125,295.4538879394531
2020-02-25,286.8978576660156,286.50103759765625
2020-02-26,285.79278564453125,285.4471740722656
2020-02-27,272.82330322265625,272.62725830078125
2020-02-28,270.2659912109375,271.4818115234375
2020-03-02,283.500244140625,283.23870849609375
2020-03-03,275.37152099609375,275.1289367675781
2020-03-04,287.4732360839844,286.69342041015625
2020-03-05,277.4356994628906,277.1632080078125
2020-03-06,272.8142395019531,272.5814514160156
2020-03-09,250.9854736328125,251.29434204101562
2020-03-10,264.4571533203125,264.29754638671875
2020-03-11,251.59735107421875,251.41339111328125
2020-03-12,227.38475036621094,227.35890197753906
2020-03-13,248.0171356201172,246.7950439453125
2020-03-16,219.31085205078125,219.7897491455078
2020-03-17,233.25750732421875,231.6566925048828
2020-03-18,220.26988220214844,219.92723083496094
2020-03-19,221.0827178955078,220.3945770263672
2020-03-20,211.12730407714844,210.89682006835938
2020-03-23,205.18148803710938,205.50460815429688
2020-03-24,224.5716552734375,224.1239776611328
2020-03-25,227.44004821777344,227.47914123535156
2020-03-26,241.1340789794922,240.7615966796875
2020-03-27,233.66209411621094,233.59033203125
2020-03-30,241.1248321533203,241.17637634277344
2020-03-31,237.4853973388672,237.58154296875
2020-04-01,226.8242950439453,226.88922119140625
2020-04-02,232.1456298828125,232.12477111816406
2020-04-03,228.86460876464844,228.7696075439453
2020-04-06,244.2864227294922,244.13519287109375
2020-04-07,244.38755798339844,244.38409423828125
2020-04-08,252.74180603027344,252.587646484375
2020-04-09,256.5282897949219,256.431396484375
2020-04-13,254.06524658203125,254.09017944335938
2020-04-14,261.7760925292969,261.5839538574219
2020-04-15,256.0229187011719,256.0258483886719
2020-04-16,257.3830261230469,257.2608642578125
2020-04-17,264.3035583496094,264.21099853515625
2020-04-20,259.5980224609375,259.55615234375
2020-04-21,251.69407653808594,251.6751708984375
2020-04-22,257.3922424316406,257.2608642578125
2020-04-23,257.3187561035156,257.24249267578125
2020-04-24,260.92138671875,260.8280944824219
2020-04-27,264.86419677734375,264.58880615234375
2020-04-28,263.43963623046875,263.3721923828125
2020-04-29,270.3234558105469,270.266845703125
2020-04-30,267.5937194824219,267.75048828125
2020-05-01,260.5814208984375,260.6622314453125
2020-05-04,261.5924377441406,261.3811950683594
2020-05-05,263.8992614746094,263.796142578125
2020-05-06,262.1621398925781,262.00799560546875
2020-05-07,265.26861572265625,265.1695861816406
2020-05-08,269.70770263671875,269.5571594238281
2020-05-11,269.6985168457031,269.6124267578125
2020-05-12,264.2025146484375,264.23858642578125
2020-05-13,259.6715393066406,259.5653381347656
2020-05-14,262.7779846191406,262.671630859375
2020-05-15,263.9176330566406,263.8791198730469
2020-05-18,272.0788879394531,271.9167785644531
2020-05-19,269.275634765625,269.12384033203125
2020-05-20,273.87103271484375,273.69580078125
2020-05-21,271.86749267578125,271.80615234375
2020-05-22,272.4188537597656,272.3223876953125
2020-05-26,275.87457275390625,275.6775207519531
2020-05-27,279.8999938964844,279.779296875
2020-05-28,279.3486328125,279.26318359375
2020-05-29,280.4790954589844,280.507568359375
2020-06-01,281.857666015625,281.64129638671875
2020-06-02,284.2012634277344,283.9732666015625
2020-06-03,288.02459716796875,287.75250244140625
2020-06-04,287.0595703125,286.9966735839844
2020-06-05,294.5407409667969,294.35223388671875
2020-06-08,298.1433410644531,297.9101257324219
2020-06-09,295.94683837890625,295.68878173828125
2020-06-10,294.2006530761719,294.0388488769531
2020-06-11,277.17962646484375,277.0877685546875
2020-06-12,280.64447021484375,280.40618896484375
2020-06-15,283.2202453613281,283.02386474609375
2020-06-16,288.66510009765625,288.471435546875
2020-06-17,287.3639221191406,287.2732238769531
2020-06-18,287.5854797363281,287.3837890625
2020-06-19,285.8319396972656,285.741455078125
2020-06-22,287.8807678222656,287.5745849609375
2020-06-23,289.052734375,288.8984375
2020-06-24,281.7528991699219,281.5290222167969
2020-06-25,284.7060241699219,284.54705810546875
2020-06-26,277.9137878417969,277.7887268066406
