Date,KO,PEP
2020-01-02,45.7451057434082,113.11402893066406
2020-01-03,45.49554443359375,112.9557876586914
2020-01-06,45.47890853881836,113.38885498046875
2020-01-07,45.1295166015625,111.60660552978516
2020-01-08,45.21269607543945,112.18125915527344
2020-01-09,46.036258697509766,112.2562026977539
2020-01-10,46.19432067871094,112.03968048095703
2020-01-13,46.69344711303711,113.70533752441406
2020-01-14,46.58530807495117,113.97183990478516
2020-01-15,47.16761016845703,115.928955078125
2020-01-16,47.267433166503906,116.27046203613281
2020-01-17,47.367271423339844,117.64456939697266
2020-01-21,47.5586051940918,118.14427185058594
2020-01-22,47.92463302612305,119.41014099121094
2020-01-23,48.10764694213867,119.63501739501953
2020-01-24,47.98286056518555,119.02706146240234
2020-01-27,47.81648254394531,118.37747955322266
2020-01-28,47.42550277709961,118.62732696533203
2020-01-29,47.42550277709961,118.03602600097656
2020-01-30,48.964481353759766,119.78492736816406
2020-01-31,48.58181381225586,118.27751922607422
2020-02-03,48.73154830932617,118.68559265136719
2020-02-04,48.94784164428711,119.27691650390625
2020-02-05,48.95615768432617,120.17631530761719
2020-02-06,49.0726203918457,120.20133209228516
2020-02-07,49.23899841308594,121.06746673583984
2020-02-10,49.70486068725586,121.3089828491211
2020-02-11,49.57175064086914,121.65876007080078
2020-02-12,49.42201232910156,121.65876007080078
2020-02-13,49.58839797973633,121.98359680175781
2020-02-14,49.8712272644043,122.41666412353516
2020-02-18,49.521846771240234,121.2590103149414
2020-02-19,49.72150421142578,121.20074462890625
2020-02-20,49.67990493774414,120.892578125
2020-02-21,50.02097702026367,121.46724700927734
2020-02-24,48.78978729248047,118.79387664794922
2020-02-25,48.099334716796875,117.51133728027344
2020-02-26,47.916316986083984,118.24422454833984
2020-02-27,45.6951904296875,113.57209777832031
2020-02-28,44.497291564941406,109.9576416015625
2020-03-02,46.51875686645508,114.57980346679688
2020-03-03,46.63522720336914,112.91414642333984
2020-03-04,49.0143928527832,118.58566284179688
2020-03-05,47.20090103149414,115.78946685791016
2020-03-06,45.96971893310547,115.08516693115234
2020-03-09,43.141326904296875,109.13219451904297
2020-03-10,44.63869857788086,112.46923828125
2020-03-11,43.43247985839844,108.78843688964844
2020-03-12,39.231483459472656,96.7063980102539
2020-03-13,40.67486572265625,106.86000061035156
2020-03-16,37.98110580444336,94.81990814208984
2020-03-17,39.59233856201172,107.08638000488281
2020-03-18,37.63705062866211,101.38494873046875
2020-03-19,35.10273742675781,98.38330078125
2020-03-20,32.14044189453125,87.13973236083984
2020-03-23,31.519468307495117,88.18781280517578
2020-03-24,33.105499267578125,95.44874572753906
2020-03-25,34.918113708496094,94.32520294189453
2020-03-26,37.16710662841797,100.83158874511719
2020-03-27,35.92512893676758,100.99925994873047
2020-03-30,37.76292419433594,105.2082748413086
2020-03-31,37.133544921875,100.6974105834961
2020-04-01,35.34608840942383,99.03730773925781
2020-04-02,36.881778717041016,103.84996795654297
2020-04-03,36.78109359741211,104.4620361328125
2020-04-06,39.16434860229492,109.97064208984375
2020-04-07,39.030086517333984,109.4004898071289
2020-04-08,40.1294059753418,111.1863784790039
2020-04-09,41.11962127685547,112.0416030883789
2020-04-13,39.382537841796875,109.74424743652344
2020-04-14,41.052494049072266,116.04100036621094
2020-04-15,39.95316696166992,113.21542358398438
2020-04-16,39.52519607543945,113.72686767578125
2020-04-17,40.330806732177734,115.32829284667969
2020-04-20,39.0468635559082,112.81298065185547
2020-04-21,38.08181381225586,109.78617095947266
2020-04-22,38.333560943603516,111.19476318359375
2020-04-23,37.8216667175293,109.21602630615234
2020-04-24,38.1237678527832,112.65365600585938
2020-04-27,39.256656646728516,112.7375259399414
2020-04-28,39.223087310791016,114.29705047607422
2020-04-29,39.54197692871094,111.8152084350586
2020-04-30,38.50978469848633,110.91808319091797
2020-05-01,38.266414642333984,109.11542510986328
2020-05-04,37.88040542602539,109.76941680908203
2020-05-05,38.09859085083008,110.39823913574219
2020-05-06,37.553131103515625,109.65202331542969
2020-05-07,37.4272575378418,110.29764556884766
2020-05-08,38.69440841674805,112.54466247558594
2020-05-11,38.21607971191406,112.6704330444336
2020-05-12,37.61187744140625,111.46306610107422
2020-05-13,36.87339401245117,111.47984313964844
2020-05-14,36.671993255615234,111.58043670654297
2020-05-15,36.30276107788086,113.98678588867188
2020-05-18,37.73774337768555,113.62626647949219
2020-05-19,37.37689208984375,110.44853973388672
2020-05-20,38.50978469848633,110.05448150634766
2020-05-21,37.90559005737305,109.17410278320312
2020-05-22,37.78809356689453,109.4004898071289
2020-05-26,38.6776237487793,108.78843688964844
2020-05-27,39.214698791503906,109.67716979980469
2020-05-28,39.51679611206055,110.91808319091797
2020-05-29,39.17274856567383,110.29764556884766
2020-06-01,39.43288803100586,111.50498962402344
2020-06-02,39.35734939575195,111.20315551757812
2020-06-03,40.19652557373047,111.36246490478516
2020-06-04,40.21331787109375,110.3257064819336
2020-06-05,41.195152282714844,111.90576171875
2020-06-08,41.83292770385742,111.71143341064453
2020-06-09,41.11962127685547,112.35357666015625
2020-06-10,40.80073547363281,113.3337631225586
2020-06-11,38.21607971191406,108.01896667480469
2020-06-12,38.61407470703125,108.9991226196289
2020-06-15,39.20684051513672,110.24964904785156
2020-06-16,39.604827880859375,111.25513458251953
2020-06-17,39.44394302368164,111.3311767578125
2020-06-18,39.7911262512207,112.19305419921875
2020-06-19,38.9697380065918,110.92562103271484
2020-06-22,38.732627868652344,110.73125457763672
2020-06-23,38.647953033447266,110.99320983886719
2020-06-24,37.80961608886719,109.4722900390625
